node_id	coding	meaning	parent_id	depth	top_branch_id	top_branch_code	selectable
44170	I81	I81 Portal vein thrombosis	1210	2	1210	Block I80-I89	Y
44180	I82	I82 Other venous embolism and thrombosis	1210	2	1210	Block I80-I89	Y
44250	I83	I83 Varicose veins of lower extremities	1210	2	1210	Block I80-I89	Y
44300	I84	I84 Haemorrhoids	1210	2	1210	Block I80-I89	Y
44410	I85	I85 Oesophageal varices	1210	2	1210	Block I80-I89	Y
44440	I86	I86 Varicose veins of other sites	1210	2	1210	Block I80-I89	Y
44510	I87	I87 Other disorders of veins	1210	2	1210	Block I80-I89	Y
44570	I88	I88 Nonspecific lymphadenitis	1210	2	1210	Block I80-I89	Y
44620	I89	I89 Other non-infective disorders of lymphatic vessels and lymph nodes	1210	2	1210	Block I80-I89	Y
44670	I95	I95 Hypotension	1220	2	1220	Block I95-I99	Y
44730	I97	I97 Postprocedural disorders of circulatory system, not elsewhere classified	1220	2	1220	Block I95-I99	Y
44790	I98	I98 Other disorders of circulatory system in diseases classified elsewhere	1220	2	1220	Block I95-I99	Y
44850	I99	I99 Other and unspecified disorders of circulatory system	1220	2	1220	Block I95-I99	Y
40130	I010	I01.0 Acute rheumatic pericarditis	40120	3	1130	Block I00-I02	Y
40140	I011	I01.1 Acute rheumatic endocarditis	40120	3	1130	Block I00-I02	Y
40150	I012	I01.2 Acute rheumatic myocarditis	40120	3	1130	Block I00-I02	Y
40160	I018	I01.8 Other acute rheumatic heart disease	40120	3	1130	Block I00-I02	Y
40170	I019	I01.9 Acute rheumatic heart disease, unspecified	40120	3	1130	Block I00-I02	Y
40190	I020	I02.0 Rheumatic chorea with heart involvement	40180	3	1130	Block I00-I02	Y
40200	I029	I02.9 Rheumatic chorea without heart involvement	40180	3	1130	Block I00-I02	Y
40220	I050	I05.0 Mitral stenosis	40210	3	1140	Block I05-I09	Y
40230	I051	I05.1 Rheumatic mitral insufficiency	40210	3	1140	Block I05-I09	Y
40240	I052	I05.2 Mitral stenosis with insufficiency	40210	3	1140	Block I05-I09	Y
40250	I058	I05.8 Other mitral valve diseases	40210	3	1140	Block I05-I09	Y
40260	I059	I05.9 Mitral valve disease, unspecified	40210	3	1140	Block I05-I09	Y
40280	I060	I06.0 Rheumatic aortic stenosis	40270	3	1140	Block I05-I09	Y
40290	I061	I06.1 Rheumatic aortic insufficiency	40270	3	1140	Block I05-I09	Y
40300	I062	I06.2 Rheumatic aortic stenosis with insufficiency	40270	3	1140	Block I05-I09	Y
40310	I068	I06.8 Other rheumatic aortic valve diseases	40270	3	1140	Block I05-I09	Y
40320	I069	I06.9 Rheumatic aortic valve disease, unspecified	40270	3	1140	Block I05-I09	Y
40340	I070	I07.0 Tricuspid stenosis	40330	3	1140	Block I05-I09	Y
40350	I071	I07.1 Tricuspid insufficiency	40330	3	1140	Block I05-I09	Y
40360	I072	I07.2 Tricuspid stenosis with insufficiency	40330	3	1140	Block I05-I09	Y
40370	I078	I07.8 Other tricuspid valve diseases	40330	3	1140	Block I05-I09	Y
40380	I079	I07.9 Tricuspid valve disease, unspecified	40330	3	1140	Block I05-I09	Y
40400	I080	I08.0 Disorders of both mitral and aortic valves	40390	3	1140	Block I05-I09	Y
40410	I081	I08.1 Disorders of both mitral and tricuspid valves	40390	3	1140	Block I05-I09	Y
40420	I082	I08.2 Disorders of both aortic and tricuspid valves	40390	3	1140	Block I05-I09	Y
40430	I083	I08.3 Combined disorders of mitral, aortic and tricuspid valves	40390	3	1140	Block I05-I09	Y
40440	I088	I08.8 Other multiple valve diseases	40390	3	1140	Block I05-I09	Y
40450	I089	I08.9 Multiple valve disease, unspecified	40390	3	1140	Block I05-I09	Y
40470	I090	I09.0 Rheumatic myocarditis	40460	3	1140	Block I05-I09	Y
40480	I091	I09.1 Rheumatic diseases of endocardium, valve unspecified	40460	3	1140	Block I05-I09	Y
40490	I092	I09.2 Chronic rheumatic pericarditis	40460	3	1140	Block I05-I09	Y
40500	I098	I09.8 Other specified rheumatic heart diseases	40460	3	1140	Block I05-I09	Y
40510	I099	I09.9 Rheumatic heart disease, unspecified	40460	3	1140	Block I05-I09	Y
40540	I110	I11.0 Hypertensive heart disease with (congestive) heart failure	40530	3	1150	Block I10-I15	Y
40550	I119	I11.9 Hypertensive heart disease without (congestive) heart failure	40530	3	1150	Block I10-I15	Y
40570	I120	I12.0 Hypertensive renal disease with renal failure	40560	3	1150	Block I10-I15	Y
40580	I129	I12.9 Hypertensive renal disease without renal failure	40560	3	1150	Block I10-I15	Y
40600	I130	I13.0 Hypertensive heart and renal disease with (congestive) heart failure	40590	3	1150	Block I10-I15	Y
40610	I131	I13.1 Hypertensive heart and renal disease with renal failure	40590	3	1150	Block I10-I15	Y
40620	I132	I13.2 Hypertensive heart and renal disease with both (congestive) heart failure and renal failure	40590	3	1150	Block I10-I15	Y
40630	I139	I13.9 Hypertensive heart and renal disease, unspecified	40590	3	1150	Block I10-I15	Y
40650	I150	I15.0 Renovascular hypertension	40640	3	1150	Block I10-I15	Y
40660	I151	I15.1 Hypertension secondary to other renal disorders	40640	3	1150	Block I10-I15	Y
40670	I152	I15.2 Hypertension secondary to endocrine disorders	40640	3	1150	Block I10-I15	Y
40680	I158	I15.8 Other secondary hypertension	40640	3	1150	Block I10-I15	Y
40690	I159	I15.9 Seconday hypertension, unspecified	40640	3	1150	Block I10-I15	Y
40710	I200	I20.0 Unstable angina	40700	3	1160	Block I20-I25	Y
40720	I201	I20.1 Angina pectoris with documented spasm	40700	3	1160	Block I20-I25	Y
40730	I208	I20.8 Other forms of angina pectoris	40700	3	1160	Block I20-I25	Y
40740	I209	I20.9 Angina pectoris, unspecified	40700	3	1160	Block I20-I25	Y
40760	I210	I21.0 Acute transmural myocardial infarction of anterior wall	40750	3	1160	Block I20-I25	Y
40770	I211	I21.1 Acute transmural myocardial infarction of inferior wall	40750	3	1160	Block I20-I25	Y
40780	I212	I21.2 Acute transmural myocardial infarction of other sites	40750	3	1160	Block I20-I25	Y
40790	I213	I21.3 Acute transmural myocardial infarction of unspecified site	40750	3	1160	Block I20-I25	Y
40800	I214	I21.4 Acute subendocardial myocardial infarction	40750	3	1160	Block I20-I25	Y
40810	I219	I21.9 Acute myocardial infarction, unspecified	40750	3	1160	Block I20-I25	Y
40820	I21X	I21.X Presumed acute myicardial infaction (unconfirmed)	40750	3	1160	Block I20-I25	Y
40840	I220	I22.0 Subsequent myocardial infarction of anterior wall	40830	3	1160	Block I20-I25	Y
40850	I221	I22.1 Subsequent myocardial infarction of inferior wall	40830	3	1160	Block I20-I25	Y
40860	I228	I22.8 Subsequent myocardial infarction of other sites	40830	3	1160	Block I20-I25	Y
40870	I229	I22.9 Subsequent myocardial infarction of unspecified site	40830	3	1160	Block I20-I25	Y
40890	I230	I23.0 Haemopericardium as current complication following acute myocardial infarction	40880	3	1160	Block I20-I25	Y
40900	I231	I23.1 Atrial septal defect as current complication following acute myocardial infarction	40880	3	1160	Block I20-I25	Y
40910	I232	I23.2 Ventricular septal defect as current complication following acute myocardial infarction	40880	3	1160	Block I20-I25	Y
40920	I233	I23.3 Rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction	40880	3	1160	Block I20-I25	Y
40930	I234	I23.4 Rupture of chordae tendineae as current complication following acute myocardial infarction	40880	3	1160	Block I20-I25	Y
40940	I235	I23.5 Rupture of papillary muscle as current complication following acute myocardial infarction	40880	3	1160	Block I20-I25	Y
40950	I236	I23.6 Thrombosis of atrium, auricular appendage and ventricle as current complications following acute myocardial infarction	40880	3	1160	Block I20-I25	Y
40960	I238	I23.8 Other current complications following acute myocardial infarction	40880	3	1160	Block I20-I25	Y
40980	I240	I24.0 Coronary thrombosis not resulting in myocardial infarction	40970	3	1160	Block I20-I25	Y
40990	I241	I24.1 Dressler's syndrome	40970	3	1160	Block I20-I25	Y
41000	I248	I24.8 Other forms of acute ischaemic heart disease	40970	3	1160	Block I20-I25	Y
41010	I249	I24.9 Acute ischaemic heart disease, unspecified	40970	3	1160	Block I20-I25	Y
41030	I250	I25.0 Atherosclerotic cardiovascular disease, so described	41020	3	1160	Block I20-I25	Y
41040	I251	I25.1 Atherosclerotic heart disease	41020	3	1160	Block I20-I25	Y
41050	I252	I25.2 Old myocardial infarction	41020	3	1160	Block I20-I25	Y
41060	I253	I25.3 Aneurysm of heart	41020	3	1160	Block I20-I25	Y
41070	I254	I25.4 Coronary artery aneurysm	41020	3	1160	Block I20-I25	Y
41080	I255	I25.5 Ischaemic cardiomyopathy	41020	3	1160	Block I20-I25	Y
41090	I256	I25.6 Silent myocardial ischaemia	41020	3	1160	Block I20-I25	Y
41100	I258	I25.8 Other forms of chronic ischaemic heart disease	41020	3	1160	Block I20-I25	Y
41110	I259	I25.9 Chronic ischaemic heart disease, unspecified	41020	3	1160	Block I20-I25	Y
41130	I260	I26.0 Pulmonary embolism with mention of acute cor pulmonale	41120	3	1170	Block I26-I28	Y
41140	I269	I26.9 Pulmonary embolism without mention of acute cor pulmonale	41120	3	1170	Block I26-I28	Y
41160	I270	I27.0 Primary pulmonary hypertension	41150	3	1170	Block I26-I28	Y
41170	I271	I27.1 Kyphoscoliotic heart disease	41150	3	1170	Block I26-I28	Y
41180	I272	I27.2 Other secondary pulmonary hypertension	41150	3	1170	Block I26-I28	Y
41190	I278	I27.8 Other specified pulmonary heart diseases	41150	3	1170	Block I26-I28	Y
41200	I279	I27.9 Pulmonary heart disease, unspecified	41150	3	1170	Block I26-I28	Y
41220	I280	I28.0 Arteriovenous fistula of pulmonary vessels	41210	3	1170	Block I26-I28	Y
41230	I281	I28.1 Aneurysm of pulmonary artery	41210	3	1170	Block I26-I28	Y
41240	I288	I28.8 Other specified diseases of pulmonary vessels	41210	3	1170	Block I26-I28	Y
41250	I289	I28.9 Disease of pulmonary vessels, unspecified	41210	3	1170	Block I26-I28	Y
41270	I300	I30.0 Acute nonspecific idiopathic pericarditis	41260	3	1180	Block I30-I52	Y
41280	I301	I30.1 Infective pericarditis	41260	3	1180	Block I30-I52	Y
41290	I308	I30.8 Other forms of acute pericarditis	41260	3	1180	Block I30-I52	Y
41300	I309	I30.9 Acute pericarditis, unspecified	41260	3	1180	Block I30-I52	Y
41320	I310	I31.0 Chronic adhesive pericarditis	41310	3	1180	Block I30-I52	Y
41330	I311	I31.1 Chronic constrictive pericarditis	41310	3	1180	Block I30-I52	Y
41340	I312	I31.2 Haemopericardium, not elsewhere classified	41310	3	1180	Block I30-I52	Y
41350	I313	I31.3 Pericardial effusion (noninflammatory)	41310	3	1180	Block I30-I52	Y
41360	I318	I31.8 Other specified diseases of pericardium	41310	3	1180	Block I30-I52	Y
41370	I319	I31.9 Disease of pericardium, unspecified	41310	3	1180	Block I30-I52	Y
41390	I320	I32.0 Pericarditis in bacterial diseases classified elsewhere	41380	3	1180	Block I30-I52	Y
41400	I321	I32.1 Pericarditis in other infectious and parasitic diseases classified elsewhere	41380	3	1180	Block I30-I52	Y
41410	I328	I32.8 Pericarditis in other diseases classified elsewhere	41380	3	1180	Block I30-I52	Y
41430	I330	I33.0 Acute and subacute infective endocarditis	41420	3	1180	Block I30-I52	Y
41440	I339	I33.9 Acute endocarditis, unspecified	41420	3	1180	Block I30-I52	Y
41460	I340	I34.0 Mitral (valve) insufficiency	41450	3	1180	Block I30-I52	Y
41470	I341	I34.1 Mitral (valve) prolapse	41450	3	1180	Block I30-I52	Y
41480	I342	I34.2 Nonrheumatic mitral (valve) stenosis	41450	3	1180	Block I30-I52	Y
41490	I348	I34.8 Other nonrheumatic mitral valve disorders	41450	3	1180	Block I30-I52	Y
41500	I349	I34.9 Nonrheumatic mitral valve disorder, unspecified	41450	3	1180	Block I30-I52	Y
41520	I350	I35.0 Aortic (valve) stenosis	41510	3	1180	Block I30-I52	Y
41530	I351	I35.1 Aortic (valve) insufficiency	41510	3	1180	Block I30-I52	Y
41540	I352	I35.2 Aortic (valve) stenosis with insufficiency	41510	3	1180	Block I30-I52	Y
41550	I358	I35.8 Other aortic valve disorders	41510	3	1180	Block I30-I52	Y
41560	I359	I35.9 Aortic valve disorder, unspecified	41510	3	1180	Block I30-I52	Y
41580	I360	I36.0 Nonrheumatic tricuspid (valve) stenosis	41570	3	1180	Block I30-I52	Y
41590	I361	I36.1 Nonrheumatic tricuspid (valve) insufficiency	41570	3	1180	Block I30-I52	Y
41600	I362	I36.2 Nonrheumatic tricuspid (valve) stenosis with insufficiency	41570	3	1180	Block I30-I52	Y
41610	I368	I36.8 Other nonrheumatic tricuspid valve disorders	41570	3	1180	Block I30-I52	Y
41620	I369	I36.9 Nonrheumatic tricuspid valve disorder, unspecified	41570	3	1180	Block I30-I52	Y
41640	I370	I37.0 Pulmonary valve stenosis	41630	3	1180	Block I30-I52	Y
41650	I371	I37.1 Pulmonary valve insufficiency	41630	3	1180	Block I30-I52	Y
41660	I372	I37.2 Pulmonary valve stenosis with insufficiency	41630	3	1180	Block I30-I52	Y
41670	I378	I37.8 Other pulmonary valve disorders	41630	3	1180	Block I30-I52	Y
41680	I379	I37.9 Pulmonary valve disorder, unspecified	41630	3	1180	Block I30-I52	Y
41710	I390	I39.0 Mitral valve disorders in diseases classified elsewhere	41700	3	1180	Block I30-I52	Y
41720	I391	I39.1 Aortic valve disorders in diseases classified elsewhere	41700	3	1180	Block I30-I52	Y
41730	I392	I39.2 Tricuspid valve disorders in diseases classified elsewhere	41700	3	1180	Block I30-I52	Y
41740	I393	I39.3 Pulmonary valve disorders in diseases classified elsewhere	41700	3	1180	Block I30-I52	Y
41750	I394	I39.4 Multiple valve disorders in diseases classified elsewhere	41700	3	1180	Block I30-I52	Y
41760	I398	I39.8 Endocarditis, valve unspecified, in diseases classified elsewhere	41700	3	1180	Block I30-I52	Y
41780	I400	I40.0 Infective myocarditis	41770	3	1180	Block I30-I52	Y
41790	I401	I40.1 Isolated myocarditis	41770	3	1180	Block I30-I52	Y
41800	I408	I40.8 Other acute myocarditis	41770	3	1180	Block I30-I52	Y
41810	I409	I40.9 Acute myocarditis, unspecified	41770	3	1180	Block I30-I52	Y
41830	I410	I41.0 Myocarditis in bacterial diseases classified elsewhere	41820	3	1180	Block I30-I52	Y
41840	I411	I41.1 Myocarditis in viral diseases classified elsewhere	41820	3	1180	Block I30-I52	Y
41850	I412	I41.2 Myocarditis in other infectious and parasitic diseases classified elsewhere	41820	3	1180	Block I30-I52	Y
41860	I418	I41.8 Myocarditis in other diseases classified elsewhere	41820	3	1180	Block I30-I52	Y
41880	I420	I42.0 Dilated cardiomyopathy	41870	3	1180	Block I30-I52	Y
41890	I421	I42.1 Obstructive hypertrophic cardiomyopathy	41870	3	1180	Block I30-I52	Y
41900	I422	I42.2 Other hypertrophic cardiomyopathy	41870	3	1180	Block I30-I52	Y
41910	I423	I42.3 Endomyocardial (eosinophilic) disease	41870	3	1180	Block I30-I52	Y
41920	I424	I42.4 Endocardial fibroelastosis	41870	3	1180	Block I30-I52	Y
41930	I425	I42.5 Other restrictive cardiomyopathy	41870	3	1180	Block I30-I52	Y
41940	I426	I42.6 Alcoholic cardiomyopathy	41870	3	1180	Block I30-I52	Y
41950	I427	I42.7 Cardiomyopathy due to drugs and other external agents	41870	3	1180	Block I30-I52	Y
41960	I428	I42.8 Other cardiomyopathies	41870	3	1180	Block I30-I52	Y
41970	I429	I42.9 Cardiomyopathy, unspecified	41870	3	1180	Block I30-I52	Y
41990	I430	I43.0 Cardiomyopathy in infectious and parasitic diseases classified elsewhere	41980	3	1180	Block I30-I52	Y
42000	I431	I43.1 Cardiomyopathy in metabolic diseases	41980	3	1180	Block I30-I52	Y
42010	I432	I43.2 Cardiomyopathy in nutritional diseases	41980	3	1180	Block I30-I52	Y
42020	I438	I43.8 Cardiomyopathy in other diseases classified elsewhere	41980	3	1180	Block I30-I52	Y
42040	I440	I44.0 Atrioventricular block, first degree	42030	3	1180	Block I30-I52	Y
42050	I441	I44.1 Atrioventricular block, second degree	42030	3	1180	Block I30-I52	Y
42060	I442	I44.2 Atrioventricular block, complete	42030	3	1180	Block I30-I52	Y
42070	I443	I44.3 Other and unspecified atrioventricular block	42030	3	1180	Block I30-I52	Y
42080	I444	I44.4 Left anterior fascicular block	42030	3	1180	Block I30-I52	Y
42090	I445	I44.5 Left posterior fascicular block	42030	3	1180	Block I30-I52	Y
42100	I446	I44.6 Other and unspecified fascicular block	42030	3	1180	Block I30-I52	Y
42110	I447	I44.7 Left bundle-branch block, unspecified	42030	3	1180	Block I30-I52	Y
42130	I450	I45.0 Right fascicular block	42120	3	1180	Block I30-I52	Y
42140	I451	I45.1 Other and unspecified right bundle-branch block	42120	3	1180	Block I30-I52	Y
42150	I452	I45.2 Bifascicular block	42120	3	1180	Block I30-I52	Y
42160	I453	I45.3 Trifascicular block	42120	3	1180	Block I30-I52	Y
42170	I454	I45.4 Nonspecific intraventricular block	42120	3	1180	Block I30-I52	Y
42180	I455	I45.5 Other specified heart block	42120	3	1180	Block I30-I52	Y
42190	I456	I45.6 Preexcitation syndrome	42120	3	1180	Block I30-I52	Y
42200	I458	I45.8 Other specified conduction disorders	42120	3	1180	Block I30-I52	Y
42210	I459	I45.9 Conduction disorder, unspecified	42120	3	1180	Block I30-I52	Y
42230	I460	I46.0 Cardiac arrest with successful resuscitation	42220	3	1180	Block I30-I52	Y
42240	I461	I46.1 Sudden cardiac death, so described	42220	3	1180	Block I30-I52	Y
42250	I469	I46.9 Cardiac arrest, unspecified	42220	3	1180	Block I30-I52	Y
42270	I470	I47.0 Reentry ventricular arrhythmia	42260	3	1180	Block I30-I52	Y
42280	I471	I47.1 Supraventricular tachycardia	42260	3	1180	Block I30-I52	Y
42290	I472	I47.2 Ventricular tachycardia	42260	3	1180	Block I30-I52	Y
42300	I479	I47.9 Paroxysmal tachycardia, unspecified	42260	3	1180	Block I30-I52	Y
42320	I480	I48.0 Paroxysmal atrial fibrillation	42310	3	1180	Block I30-I52	Y
42330	I481	I48.1 Persistent atrial fibrillation	42310	3	1180	Block I30-I52	Y
42340	I482	I48.2 Chronic atrial fibrillation	42310	3	1180	Block I30-I52	Y
42350	I483	I48.3 Typical atrial flutter	42310	3	1180	Block I30-I52	Y
42360	I484	I48.4 Atypical atrial flutter	42310	3	1180	Block I30-I52	Y
42370	I489	I48.9 Atrial fibrillation and atrial flutter,  unspecified	42310	3	1180	Block I30-I52	Y
42390	I490	I49.0 Ventricular fibrillation and flutter	42380	3	1180	Block I30-I52	Y
42400	I491	I49.1 Atrial premature depolarisation	42380	3	1180	Block I30-I52	Y
42410	I492	I49.2 Junctional premature depolarisation	42380	3	1180	Block I30-I52	Y
42420	I493	I49.3 Ventricular premature depolarisation	42380	3	1180	Block I30-I52	Y
42430	I494	I49.4 Other and unspecified premature depolarisation	42380	3	1180	Block I30-I52	Y
42440	I495	I49.5 Sick sinus syndrome	42380	3	1180	Block I30-I52	Y
42450	I498	I49.8 Other specified cardiac arrhythmias	42380	3	1180	Block I30-I52	Y
42460	I499	I49.9 Cardiac arrhythmia, unspecified	42380	3	1180	Block I30-I52	Y
42480	I500	I50.0 Congestive heart failure	42470	3	1180	Block I30-I52	Y
42490	I501	I50.1 Left ventricular failure	42470	3	1180	Block I30-I52	Y
42500	I509	I50.9 Heart failure, unspecified	42470	3	1180	Block I30-I52	Y
42520	I510	I51.0 Cardiac septal defect, acquired	42510	3	1180	Block I30-I52	Y
42530	I511	I51.1 Rupture of chordae tendineae, not elsewhere classified	42510	3	1180	Block I30-I52	Y
42540	I512	I51.2 Rupture of papillary muscle, not elsewhere classified	42510	3	1180	Block I30-I52	Y
42550	I513	I51.3 Intracardiac thrombosis, not elsewhere classified	42510	3	1180	Block I30-I52	Y
42560	I514	I51.4 Myocarditis, unspecified	42510	3	1180	Block I30-I52	Y
42570	I515	I51.5 Myocardial degeneration	42510	3	1180	Block I30-I52	Y
42580	I516	I51.6 Cardiovascular disease, unspecified	42510	3	1180	Block I30-I52	Y
42590	I517	I51.7 Cardiomegaly	42510	3	1180	Block I30-I52	Y
42600	I518	I51.8 Other ill-defined heart diseases	42510	3	1180	Block I30-I52	Y
42610	I519	I51.9 Heart disease, unspecified	42510	3	1180	Block I30-I52	Y
42630	I520	I52.0 Other heart disorders in bacterial diseases classified elsewhere	42620	3	1180	Block I30-I52	Y
42640	I521	I52.1 Other heart disorders in other infectious and parasitic diseases classified elsewhere	42620	3	1180	Block I30-I52	Y
42650	I528	I52.8 Other heart disorders in other diseases classified elsewhere	42620	3	1180	Block I30-I52	Y
42670	I600	I60.0 Subarachnoid haemorrhage from carotid siphon and bifurcation	42660	3	1190	Block I60-I69	Y
42680	I601	I60.1 Subarachnoid haemorrhage from middle cerebral artery	42660	3	1190	Block I60-I69	Y
42690	I602	I60.2 Subarachnoid haemorrhage from anterior communicating artery	42660	3	1190	Block I60-I69	Y
42700	I603	I60.3 Subarachnoid haemorrhage from posterior communicating artery	42660	3	1190	Block I60-I69	Y
42710	I604	I60.4 Subarachnoid haemorrhage from basilar artery	42660	3	1190	Block I60-I69	Y
42720	I605	I60.5 Subarachnoid haemorrhage from vertebral artery	42660	3	1190	Block I60-I69	Y
