node_id	coding	meaning	depth	top_branch_id	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10
42700	I603	I60.3 Subarachnoid haemorrhage from posterior communicating artery	3	1190	0.00290011582196	-0.00438007882683	0.000980180550447	-0.000959048632356	0.000395310739982	-0.00115054511237	-0.00238385937992	0.000950275249191	0.000364163481665	0.00308842580096
42710	I604	I60.4 Subarachnoid haemorrhage from basilar artery	3	1190	0.00275630873088	-0.00446946220857	0.000660359796636	-0.00106636005777	0.000661899766328	-0.00117458670822	-0.00173838163271	-0.000160193796527	0.000173625887229	0.0035441758719
42720	I605	I60.5 Subarachnoid haemorrhage from vertebral artery	3	1190	0.00268573135426	-0.0050903668776	0.000813660414068	-0.000962411814199	0.000738346015248	-0.0014218528206	-0.0023705974475	0.000631539731562	0.000491324015573	0.0037615606894
42730	I606	I60.6 Subarachnoid haemorrhage from other intracranial arteries	3	1190	0.00313523568534	-0.0057111710261	0.000937517175382	-0.00117477571496	0.00105595761667	-0.00160051357621	-0.00241864075815	0.000449834046291	0.00014363256131	0.00415625359697
42740	I607	I60.7 Subarachnoid haemorrhage from intracranial artery, unspecified	3	1190	0.00304556177358	-0.00448457856865	0.000972932932397	-0.00103727932995	0.000336339483269	-0.00120765707098	-0.00263480354593	0.00112627484969	0.00026966245478	0.00329787121173
42750	I608	I60.8 Other subarachnoid haemorrhage	3	1190	0.00253654075314	-0.0044201252636	0.000631877939116	-0.000810661290466	0.00077805308584	-0.00111898989084	-0.00186217809487	0.000340244259972	0.000237606550924	0.00329019073024
42760	I609	I60.9 Subarachnoid haemorrhage, unspecified	3	1190	0.00253574267587	-0.00457572159216	0.000703787387758	-0.000929643069813	0.00083301952457	-0.00112626296142	-0.00196438522374	0.000285098258372	0.000371506326556	0.00333073312384
42770	I61	I61 Intracerebral haemorrhage	2	1190	0.000743398975002	-0.00122965866438	0.000213731984515	-0.0041079434788	-0.000607406530827	-0.0031688702234	-0.00290555470566	0.00281452961972	-0.000700754553446	0.00228873556671
42780	I610	I61.0 Intracerebral haemorrhage in hemisphere, subcortical	3	1190	0.00089544829546	-0.00134631511173	0.000312018239832	-0.00456022774743	-0.000324706519359	-0.00360823316195	-0.00341771017577	0.00286803619937	-0.00056125951937	0.0024520392254
42790	I611	I61.1 Intracerebral haemorrhage in hemisphere, cortical	3	1190	0.000887427742204	-0.00139415475236	0.000329943769384	-0.00442534868656	-0.00020675896877	-0.00367331314416	-0.00350350704956	0.00263164337566	-0.000505643574052	0.00235463795169
42800	I612	I61.2 Intracerebral haemorrhage in hemisphere, unspecified	3	1190	0.000863847518093	-0.00073908832342	-5.38549073374e-05	-0.00441718619996	0.000150342617683	-0.00362212287089	-0.00350301164471	0.00216592107871	-0.000347305266355	0.00140413578757
42810	I613	I61.3 Intracerebral haemorrhage in brain stem	3	1190	0.000975739685438	-0.00123741061836	0.000362336028809	-0.00438726014875	-0.000683576790747	-0.00334885363634	-0.00280964734156	0.00273164097381	-5.89339410089e-05	0.00262312098092
42820	I614	I61.4 Intracerebral haemorrhage in cerebellum	3	1190	0.000710733611331	-0.000625306735401	-0.000107063173367	-0.00445254690213	-0.000201913723438	-0.00356782069518	-0.00347199357374	0.00231929833221	-0.00037094866339	0.00136231642964
42830	I615	I61.5 Intracerebral haemorrhage, intraventricular	3	1190	0.000982397172542	-0.000735788717063	2.41413849238e-05	-0.00407806078781	0.000274769344499	-0.00347886731842	-0.00331208548624	0.00183532739121	-0.000181026914833	0.0013443251493
42840	I616	I61.6 Intracerebral haemorrhage, multiple localised	3	1190	0.000578317222057	-0.000943561663054	-1.39329668566e-07	-0.00439852552933	-0.00011568595259	-0.00339539128189	-0.00334372695384	0.00257502315873	-0.000647255163023	0.00155469321556
42850	I618	I61.8 Other intracerebral haemorrhage	3	1190	0.00144181174661	-0.00145286498052	0.000306171977651	-0.00430843195932	-0.000126644283365	-0.00392882697542	-0.00401150093749	0.00233062599809	-0.000187857822241	0.00203253770658
42860	I619	I61.9 Intracerebral haemorrhage, unspecified	3	1190	0.000621692221246	-0.00111944982452	4.85133442008e-05	-0.00442390333224	-0.000218883477125	-0.00337571886364	-0.00321003723461	0.00267770348695	-0.000612554838374	0.00193440051072
42870	I62	I62 Other nontraumatic intracranial haemorrhage	2	1190	0.00034270752499	-0.0035865754046	0.00320507145551	-0.00199469663562	0.00159005527127	-0.00211990967301	-0.00175810406749	0.000392752227176	0.00120363007579	0.0038823059361
42880	I620	I62.0 Subdural haemorrhage (acute) (nontraumatic)	3	1190	0.000419866736242	-0.00384037297769	0.00359181039293	-0.00223916351863	0.0017288584438	-0.00246706302463	-0.00204310669771	0.000443451155361	0.00141633493939	0.00433553391068
42890	I621	I62.1 Nontraumatic extradural haemorrhage	3	1190	0.000225097062628	-0.00395636976651	0.00281787822577	-0.00191553581634	0.00152659262165	-0.00188353153156	-0.00156979517822	0.000208773604904	0.000977994285241	0.00351105928945
42900	I629	I62.9 Intracranial haemorrhage (nontraumatic), unspecified	3	1190	0.00062901221527	-0.00415478275788	0.002636896471	-0.00191528994348	0.00163997126278	-0.00157770482304	-0.00172636895684	0.000166681504311	0.000979384600205	0.00335086345005
42910	I63	I63 Cerebral infarction	2	1190	-9.18117652087e-05	-0.00294219294008	0.00261266641445	0.000357896460399	0.00330736830839	-0.00157013882152	-0.000609201200249	0.0022522086245	0.00126229262811	0.00318386750388
42920	I630	I63.0 Cerebral infarction due to thrombosis of precerebral arteries	3	1190	-0.000590400476215	-0.00292417054435	0.00243555132988	0.00123636716772	0.00317499931397	-0.00165299377617	-0.000302711385625	0.00203732230407	0.000857798939724	0.00271976843087
42930	I631	I63.1 Cerebral infarction due to embolism of precerebral arteries	3	1190	-0.000115093668066	-0.00261149208574	0.00278955690447	0.00123162644459	0.00367157567328	-0.00162061857868	-0.000563501306765	0.00250914512972	0.00103912437171	0.00282877051555
42940	I632	I63.2 Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries	3	1190	9.55247409104e-05	-0.00264427302663	0.00297492444415	0.000962440974391	0.00417200356161	-0.00139657182447	-0.000539355530153	0.00282956583354	0.00150097895914	0.00302677194948
42950	I633	I63.3 Cerebral infarction due to thrombosis of cerebral arteries	3	1190	-0.000241723121343	-0.00288548889899	0.00264838273044	0.00110399740751	0.00344520122835	-0.00161421365762	-0.000415331642853	0.00225126929542	0.00105470853834	0.00289782532239
42960	I634	I63.4 Cerebral infarction due to embolism of cerebral arteries	3	1190	0.00040879408877	-0.00221792505305	0.00317865342125	0.00170336103532	0.00348015568522	-0.00217515043358	-0.000874021273966	0.00306142610352	0.000388548674235	0.00298703905754
42970	I635	I63.5 Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries	3	1190	0.000346616545596	-0.00255934629737	0.00301820629769	0.00123288138366	0.00377605399371	-0.00179914678993	-0.000656772580508	0.00276962146764	0.000997350958608	0.00328515517385
42980	I636	I63.6 Cerebral infarction due to cerebral venous thrombosis, nonpyogenic	3	1190	3.11468826171e-05	-0.00245861304939	0.00299770201119	0.00104745948962	0.00395821611803	-0.00147629222497	-0.000616484185178	0.00288187632284	0.00121463376245	0.00277394152346
42990	I638	I63.8 Other cerebral infarction	3	1190	-7.98854170867e-05	-0.00243889443328	0.00288824338286	0.00216638994843	0.00395601263214	-0.00209499300965	-0.00053339130698	0.00306572892719	0.000638317971726	0.00306192940381
43000	I639	I63.9 Cerebral infarction, unspecified	3	1190	8.93363923649e-05	-0.00257603384397	0.00292491482844	0.00119138234534	0.00413237347109	-0.00157453492583	-0.000531886992035	0.00286165663337	0.00135584604766	0.00307102493833
43010	I64	I64 Stroke, not specified as haemorrhage or infarction	2	1190	-0.000474306210201	-0.00106517883885	0.000979141579979	-0.000447928862741	-0.000700350034471	5.54977598907e-05	-0.000600124980409	0.000437735542885	0.000104379379872	0.000604927909024
