node_id	coding	meaning	parent_id	depth	top_branch_id	top_branch_code	selectable	is_target_code
32390	G214	G21.4 Vascular parkinsonism	32340	3	890	Block G20-G26	Y	Y
32400	G218	G21.8 Other secondary Parkinsonism	32340	3	890	Block G20-G26	Y	Y
32410	G219	G21.9 Secondary Parkinsonism, unspecified	32340	3	890	Block G20-G26	Y	Y
32440	G230	G23.0 Hallervorden-Spatz disease	32430	3	890	Block G20-G26	Y	Y
32450	G231	G23.1 Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski]	32430	3	890	Block G20-G26	Y	Y
32460	G232	G23.2 Striatonigral degeneration	32430	3	890	Block G20-G26	Y	Y
32470	G233	G23.3 Multiple system atrophy, cerebellar type	32430	3	890	Block G20-G26	Y	Y
32480	G238	G23.8 Other specified degenerative diseases of basal ganglia	32430	3	890	Block G20-G26	Y	Y
32490	G239	G23.9 Degenerative disease of basal ganglia, unspecified	32430	3	890	Block G20-G26	Y	Y
32510	G240	G24.0 Drug-induced dystonia	32500	3	890	Block G20-G26	Y	Y
32520	G241	G24.1 Idiopathic familial dystonia	32500	3	890	Block G20-G26	Y	Y
32530	G242	G24.2 Idiopathic nonfamilial dystonia	32500	3	890	Block G20-G26	Y	Y
32540	G243	G24.3 Spasmodic torticollis	32500	3	890	Block G20-G26	Y	Y
32550	G244	G24.4 Idiopathic orofacial dystonia	32500	3	890	Block G20-G26	Y	Y
32560	G245	G24.5 Blepharospasm	32500	3	890	Block G20-G26	Y	Y
32570	G248	G24.8 Other dystonia	32500	3	890	Block G20-G26	Y	Y
32580	G249	G24.9 Dystonia, unspecified	32500	3	890	Block G20-G26	Y	Y
32600	G250	G25.0 Essential tremor	32590	3	890	Block G20-G26	Y	Y
32610	G251	G25.1 Drug-induced tremor	32590	3	890	Block G20-G26	Y	Y
32620	G252	G25.2 Other specified forms of tremor	32590	3	890	Block G20-G26	Y	Y
32630	G253	G25.3 Myoclonus	32590	3	890	Block G20-G26	Y	Y
32640	G254	G25.4 Drug-induced chorea	32590	3	890	Block G20-G26	Y	Y
32650	G255	G25.5 Other chorea	32590	3	890	Block G20-G26	Y	Y
32660	G256	G25.6 Drug-induced tics and other tics of organic origin	32590	3	890	Block G20-G26	Y	Y
32670	G258	G25.8 Other specified extrapyramidal and movement disorders	32590	3	890	Block G20-G26	Y	Y
32680	G259	G25.9 Extrapyramidal and movement disorder, unspecified	32590	3	890	Block G20-G26	Y	Y
32710	G300	G30.0 Alzheimer's disease with early onset	32700	3	900	Block G30-G32	Y	Y
32720	G301	G30.1 Alzheimer's disease with late onset	32700	3	900	Block G30-G32	Y	Y
32730	G308	G30.8 Other Alzheimer's disease	32700	3	900	Block G30-G32	Y	Y
32740	G309	G30.9 Alzheimer's disease, unspecified	32700	3	900	Block G30-G32	Y	Y
32760	G310	G31.0 Circumscribed brain atrophy	32750	3	900	Block G30-G32	Y	Y
32770	G311	G31.1 Senile degeneration of brain, not elsewhere classified	32750	3	900	Block G30-G32	Y	Y
32780	G312	G31.2 Degeneration of nervous system due to alcohol	32750	3	900	Block G30-G32	Y	Y
32790	G318	G31.8 Other specified degenerative diseases of nervous system	32750	3	900	Block G30-G32	Y	Y
32800	G319	G31.9 Degenerative disease of nervous system, unspecified	32750	3	900	Block G30-G32	Y	Y
32820	G320	G32.0 Subacute combined degeneration of spinal cord in diseases classified elsewhere	32810	3	900	Block G30-G32	Y	Y
32830	G328	G32.8 Other specified degenerative disorders of nervous system in diseases classified elsewhere	32810	3	900	Block G30-G32	Y	Y
32860	G360	G36.0 Neuromyelitis optica [Devic]	32850	3	910	Block G35-G37	Y	Y
32870	G361	G36.1 Acute and subacute haemorrhagic leukoencephalitis [Hurst]	32850	3	910	Block G35-G37	Y	Y
32880	G368	G36.8 Other specified acute disseminated demyelination	32850	3	910	Block G35-G37	Y	Y
32890	G369	G36.9 Acute disseminated demyelination, unspecified	32850	3	910	Block G35-G37	Y	Y
32910	G370	G37.0 Diffuse sclerosis	32900	3	910	Block G35-G37	Y	Y
32920	G371	G37.1 Central demyelination of corpus callosum	32900	3	910	Block G35-G37	Y	Y
32930	G372	G37.2 Central pontine myelinolysis	32900	3	910	Block G35-G37	Y	Y
32940	G373	G37.3 Acute transverse myelitis in demyelinating disease of central nervous system	32900	3	910	Block G35-G37	Y	Y
32950	G374	G37.4 Subacute necrotising myelitis	32900	3	910	Block G35-G37	Y	Y
32960	G375	G37.5 Concentric sclerosis [Balo]	32900	3	910	Block G35-G37	Y	Y
32970	G378	G37.8 Other specified demyelinating diseases of central nervous system	32900	3	910	Block G35-G37	Y	Y
32980	G379	G37.9 Demyelinating disease of central nervous system, unspecified	32900	3	910	Block G35-G37	Y	Y
33000	G400	G40.0 Localisation-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localised onset	32990	3	920	Block G40-G47	Y	Y
33010	G401	G40.1 Localisation-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures	32990	3	920	Block G40-G47	Y	Y
33020	G402	G40.2 Localisation-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures	32990	3	920	Block G40-G47	Y	Y
33030	G403	G40.3 Generalised idiopathic epilepsy and epileptic syndromes	32990	3	920	Block G40-G47	Y	Y
33040	G404	G40.4 Other generalised epilepsy and epileptic syndromes	32990	3	920	Block G40-G47	Y	Y
33050	G405	G40.5 Special epileptic syndromes	32990	3	920	Block G40-G47	Y	Y
33060	G406	G40.6 Grand mal seizures, unspecified (with or without petit mal)	32990	3	920	Block G40-G47	Y	Y
33070	G407	G40.7 Petit mal, unspecified, without grand mal seizures	32990	3	920	Block G40-G47	Y	Y
33080	G408	G40.8 Other epilepsy	32990	3	920	Block G40-G47	Y	Y
33090	G409	G40.9 Epilepsy, unspecified	32990	3	920	Block G40-G47	Y	Y
33110	G410	G41.0 Grand mal status epilepticus	33100	3	920	Block G40-G47	Y	Y
33120	G411	G41.1 Petit mal status epilepticus	33100	3	920	Block G40-G47	Y	Y
33130	G412	G41.2 Complex partial status epilepticus	33100	3	920	Block G40-G47	Y	Y
33140	G418	G41.8 Other status epilepticus	33100	3	920	Block G40-G47	Y	Y
33150	G419	G41.9 Status epilepticus, unspecified	33100	3	920	Block G40-G47	Y	Y
33170	G430	G43.0 Migraine without aura [common migraine]	33160	3	920	Block G40-G47	Y	Y
33180	G431	G43.1 Migraine with aura [classical migraine]	33160	3	920	Block G40-G47	Y	Y
33190	G432	G43.2 Status migrainosus	33160	3	920	Block G40-G47	Y	Y
33200	G433	G43.3 Complicated migraine	33160	3	920	Block G40-G47	Y	Y
33210	G438	G43.8 Other migraine	33160	3	920	Block G40-G47	Y	Y
