id1,id2,weight
33080,32990,1.0
33090,32990,1.0
33100,920,1.0
33110,33100,1.0
33120,33100,1.0
33130,33100,1.0
33140,33100,1.0
33150,33100,1.0
33160,920,1.0
33170,33160,1.0
33180,33160,1.0
33190,33160,1.0
33200,33160,1.0
33210,33160,1.0
33220,33160,1.0
33230,920,1.0
33240,33230,1.0
33250,33230,1.0
33260,33230,1.0
33270,33230,1.0
33280,33230,1.0
33290,33230,1.0
33300,920,1.0
33310,33300,1.0
33320,33300,1.0
33330,33300,1.0
33340,33300,1.0
33350,33300,1.0
33360,33300,1.0
33370,33300,1.0
33380,920,1.0
33390,33380,1.0
33400,33380,1.0
33410,33380,1.0
33420,33380,1.0
33430,33380,1.0
33440,33380,1.0
33450,33380,1.0
33460,33380,1.0
33470,33380,1.0
33480,920,1.0
33490,33480,1.0
33500,33480,1.0
33510,33480,1.0
33520,33480,1.0
33530,33480,1.0
33540,33480,1.0
33550,33480,1.0
33560,930,1.0
33570,33560,1.0
33580,33560,1.0
33590,33560,1.0
33600,33560,1.0
33610,930,1.0
33620,33610,1.0
33630,33610,1.0
33640,33610,1.0
33650,33610,1.0
33660,33610,1.0
33670,33610,1.0
33680,33610,1.0
33690,930,1.0
33700,33690,1.0
33710,33690,1.0
33720,33690,1.0
33730,33690,1.0
33740,33690,1.0
33750,33690,1.0
33760,33690,1.0
33770,930,1.0
33780,33770,1.0
33790,33770,1.0
33800,33770,1.0
33810,33770,1.0
33820,33770,1.0
33830,930,1.0
33840,33830,1.0
33850,33830,1.0
33860,33830,1.0
33870,33830,1.0
33880,33830,1.0
33890,33830,1.0
33900,33830,1.0
33910,33830,1.0
33920,33830,1.0
33930,33830,1.0
33940,930,1.0
33950,33940,1.0
33960,33940,1.0
33970,33940,1.0
33980,33940,1.0
33990,33940,1.0
34000,930,1.0
34010,34000,1.0
34020,34000,1.0
34030,34000,1.0
34040,34000,1.0
34050,34000,1.0
34060,34000,1.0
34070,34000,1.0
34080,930,1.0
34090,34080,1.0
34100,34080,1.0
34110,34080,1.0
34120,34080,1.0
34130,34080,1.0
34140,34080,1.0
34150,34080,1.0
34160,34080,1.0
34170,34080,1.0
34180,930,1.0
34190,34180,1.0
34200,34180,1.0
34210,34180,1.0
34220,34180,1.0
34230,930,1.0
34240,34230,1.0
34250,34230,1.0
34260,940,1.0
34270,34260,1.0
34280,34260,1.0
34290,34260,1.0
34300,34260,1.0
34310,34260,1.0
34320,34260,1.0
34330,940,1.0
34340,34330,1.0
34350,34330,1.0
34360,34330,1.0
34370,34330,1.0
34380,940,1.0
34390,34380,1.0
34400,34380,1.0
34410,34380,1.0
34420,34380,1.0
34430,34380,1.0
34440,940,1.0
34450,34440,1.0
34460,34440,1.0
34470,34440,1.0
34480,34440,1.0
34490,34440,1.0
34500,34440,1.0
34510,34440,1.0
34520,34440,1.0
34530,940,1.0
34540,950,1.0
34550,34540,1.0
34560,34540,1.0
34570,34540,1.0
34580,34540,1.0
34590,34540,1.0
34600,950,1.0
34610,34600,1.0
34620,34600,1.0
34630,34600,1.0
34640,34600,1.0
34650,34600,1.0
34660,34600,1.0
34670,950,1.0
34680,34670,1.0
34690,34670,1.0
34700,34670,1.0
34710,34670,1.0
34720,34670,1.0
34730,34670,1.0
34740,34670,1.0
34750,950,1.0
34760,34750,1.0
34770,34750,1.0
34780,34750,1.0
34790,34750,1.0
34800,34750,1.0
34810,34750,1.0
34820,34750,1.0
34830,34750,1.0
34840,960,1.0
34850,34840,1.0
34860,34840,1.0
34870,34840,1.0
34880,34840,1.0
34890,34840,1.0
34900,34840,1.0
34910,34840,1.0
34920,960,1.0
34930,34920,1.0
34940,34920,1.0
34950,34920,1.0
34960,960,1.0
34970,34960,1.0
34980,34960,1.0
34990,34960,1.0
35000,34960,1.0
35010,34960,1.0
35020,34960,1.0
35030,960,1.0
35040,35030,1.0
35050,35030,1.0
35060,35030,1.0
35070,35030,1.0
35080,35030,1.0
35090,35030,1.0
35100,35030,1.0
35110,35030,1.0
35120,970,1.0
35130,35120,1.0
35140,35120,1.0
35150,35120,1.0
35160,35120,1.0
35170,35120,1.0
35180,35120,1.0
35190,35120,1.0
35200,970,1.0
35210,35200,1.0
35220,35200,1.0
35230,35200,1.0
35240,35200,1.0
35250,35200,1.0
35260,35200,1.0
35270,970,1.0
35280,970,1.0
35290,35280,1.0
35300,35280,1.0
35310,35280,1.0
35320,35280,1.0
35330,35280,1.0
35340,35280,1.0
35350,35280,1.0
35360,35280,1.0
35370,35280,1.0
35380,35280,1.0
35390,970,1.0
35400,35390,1.0
35410,35390,1.0
35420,35390,1.0
35430,35390,1.0
35440,970,1.0
35450,35440,1.0
35460,35440,1.0
35470,35440,1.0
35480,35440,1.0
35490,35440,1.0
35500,970,1.0
35510,35500,1.0
35520,35500,1.0
35530,35500,1.0
35540,35500,1.0
35550,970,1.0
35560,35550,1.0
35570,35550,1.0
35580,35550,1.0
35590,35550,1.0
35600,35550,1.0
35610,970,1.0
35620,970,1.0
35630,35620,1.0
35640,35620,1.0
35650,35620,1.0
35660,35620,1.0
870,60,1.0
880,60,1.0
890,60,1.0
900,60,1.0
910,60,1.0
920,60,1.0
930,60,1.0
940,60,1.0
950,60,1.0
960,60,1.0
970,60,1.0
