node_id	coding	meaning	parent_id	depth	top_branch_id	top_branch_code	selectable	is_target_code
12430	C061	C06.1 Vestibule of mouth	12410	3	440	Block C00-C14	Y	Y
12440	C062	C06.2 Retromolar area	12410	3	440	Block C00-C14	Y	Y
12450	C068	C06.8 Overlapping lesion of other and unspecified parts of mouth	12410	3	440	Block C00-C14	Y	Y
12460	C069	C06.9 Mouth, unspecified	12410	3	440	Block C00-C14	Y	Y
12490	C080	C08.0 Submandibular gland	12480	3	440	Block C00-C14	Y	Y
12500	C081	C08.1 Sublingual gland	12480	3	440	Block C00-C14	Y	Y
12510	C088	C08.8 Overlapping lesion of major salivary glands	12480	3	440	Block C00-C14	Y	Y
12520	C089	C08.9 Major salivary gland, unspecified	12480	3	440	Block C00-C14	Y	Y
12540	C090	C09.0 Tonsillar fossa	12530	3	440	Block C00-C14	Y	Y
12550	C091	C09.1 Tonsillar pillar (anterior) (posterior)	12530	3	440	Block C00-C14	Y	Y
12560	C098	C09.8 Overlapping lesion of tonsil	12530	3	440	Block C00-C14	Y	Y
12570	C099	C09.9 Tonsil, unspecified	12530	3	440	Block C00-C14	Y	Y
12590	C100	C10.0 Vallecula	12580	3	440	Block C00-C14	Y	Y
12600	C101	C10.1 Anterior surface of epiglottis	12580	3	440	Block C00-C14	Y	Y
12610	C102	C10.2 Lateral wall of oropharynx	12580	3	440	Block C00-C14	Y	Y
12620	C103	C10.3 Posterior wall of oropharynx	12580	3	440	Block C00-C14	Y	Y
12630	C104	C10.4 Branchial cleft	12580	3	440	Block C00-C14	Y	Y
12640	C108	C10.8 Overlapping lesion of oropharynx	12580	3	440	Block C00-C14	Y	Y
12650	C109	C10.9 Oropharynx, unspecified	12580	3	440	Block C00-C14	Y	Y
12670	C110	C11.0 Superior wall of nasopharynx	12660	3	440	Block C00-C14	Y	Y
12680	C111	C11.1 Posterior wall of nasopharynx	12660	3	440	Block C00-C14	Y	Y
12690	C112	C11.2 Lateral wall of nasopharynx	12660	3	440	Block C00-C14	Y	Y
12700	C113	C11.3 Anterior wall of nasopharynx	12660	3	440	Block C00-C14	Y	Y
12710	C118	C11.8 Overlapping lesion of nasopharynx	12660	3	440	Block C00-C14	Y	Y
12720	C119	C11.9 Nasopharynx, unspecified	12660	3	440	Block C00-C14	Y	Y
12750	C130	C13.0 Postcricoid region	12740	3	440	Block C00-C14	Y	Y
12760	C131	C13.1 Aryepiglottic fold, hypopharyngeal aspect	12740	3	440	Block C00-C14	Y	Y
12770	C132	C13.2 Posterior wall of hypopharynx	12740	3	440	Block C00-C14	Y	Y
12780	C138	C13.8 Overlapping lesion of hypopharynx	12740	3	440	Block C00-C14	Y	Y
12790	C139	C13.9 Hypopharynx, unspecified	12740	3	440	Block C00-C14	Y	Y
12810	C140	C14.0 Pharynx, unspecified	12800	3	440	Block C00-C14	Y	Y
12820	C142	C14.2 Waldeyer's ring	12800	3	440	Block C00-C14	Y	Y
12830	C148	C14.8 Overlapping lesion of lip, oral cavity and pharynx	12800	3	440	Block C00-C14	Y	Y
12850	C150	C15.0 Cervical part of oesophagus	12840	3	450	Block C15-C26	Y	Y
12860	C151	C15.1 Thoracic part of oesophagus	12840	3	450	Block C15-C26	Y	Y
12870	C152	C15.2 Abdominal part of oesophagus	12840	3	450	Block C15-C26	Y	Y
12880	C153	C15.3 Upper third of oesophagus	12840	3	450	Block C15-C26	Y	Y
12890	C154	C15.4 Middle third of oesophagus	12840	3	450	Block C15-C26	Y	Y
12900	C155	C15.5 Lower third of oesophagus	12840	3	450	Block C15-C26	Y	Y
12910	C158	C15.8 Overlapping lesion of oesophagus	12840	3	450	Block C15-C26	Y	Y
12920	C159	C15.9 Oesophagus, unspecified	12840	3	450	Block C15-C26	Y	Y
12940	C160	C16.0 Cardia	12930	3	450	Block C15-C26	Y	Y
12950	C161	C16.1 Fundus of stomach	12930	3	450	Block C15-C26	Y	Y
12960	C162	C16.2 Body of stomach	12930	3	450	Block C15-C26	Y	Y
12970	C163	C16.3 Pyloric antrum	12930	3	450	Block C15-C26	Y	Y
12980	C164	C16.4 Pylorus	12930	3	450	Block C15-C26	Y	Y
12990	C165	C16.5 Lesser curvature of stomach, unspecified	12930	3	450	Block C15-C26	Y	Y
