id1,id2,weight
41130,1170,1.0
41130,41120,1.0
41140,1170,1.0
41140,41120,1.0
41150,1170,1.0
41150,90,1.0
41160,1170,1.0
41160,41150,1.0
41170,1170,1.0
41170,41150,1.0
41180,1170,1.0
41180,41150,1.0
41190,1170,1.0
41190,41150,1.0
41200,1170,1.0
41200,41150,1.0
41210,1170,1.0
41210,90,1.0
41220,1170,1.0
41220,41210,1.0
41230,1170,1.0
41230,41210,1.0
41240,1170,1.0
41240,41210,1.0
41250,1170,1.0
41250,41210,1.0
41260,1180,1.0
41260,90,1.0
41270,1180,1.0
41270,41260,1.0
41280,1180,1.0
41280,41260,1.0
41290,1180,1.0
41290,41260,1.0
41300,1180,1.0
41300,41260,1.0
41310,1180,1.0
41310,90,1.0
41320,1180,1.0
41320,41310,1.0
41330,1180,1.0
41330,41310,1.0
41340,1180,1.0
41340,41310,1.0
41350,1180,1.0
41350,41310,1.0
41360,1180,1.0
41360,41310,1.0
41370,1180,1.0
41370,41310,1.0
41380,1180,1.0
41380,90,1.0
41390,1180,1.0
41390,41380,1.0
41400,1180,1.0
41400,41380,1.0
41410,1180,1.0
41410,41380,1.0
41420,1180,1.0
41420,90,1.0
41430,1180,1.0
41430,41420,1.0
41440,1180,1.0
41440,41420,1.0
41450,1180,1.0
41450,90,1.0
41460,1180,1.0
41460,41450,1.0
41470,1180,1.0
41470,41450,1.0
41480,1180,1.0
41480,41450,1.0
41490,1180,1.0
41490,41450,1.0
41500,1180,1.0
41500,41450,1.0
41510,1180,1.0
41510,90,1.0
41520,1180,1.0
41520,41510,1.0
41530,1180,1.0
41530,41510,1.0
41540,1180,1.0
41540,41510,1.0
41550,1180,1.0
41550,41510,1.0
41560,1180,1.0
41560,41510,1.0
41570,1180,1.0
41570,90,1.0
41580,1180,1.0
41580,41570,1.0
41590,1180,1.0
41590,41570,1.0
41600,1180,1.0
41600,41570,1.0
41610,1180,1.0
41610,41570,1.0
41620,1180,1.0
41620,41570,1.0
41630,1180,1.0
41630,90,1.0
41640,1180,1.0
41640,41630,1.0
41650,1180,1.0
41650,41630,1.0
41660,1180,1.0
41660,41630,1.0
41670,1180,1.0
41670,41630,1.0
41680,1180,1.0
41680,41630,1.0
41690,1180,1.0
41690,90,1.0
41700,1180,1.0
41700,90,1.0
41710,1180,1.0
41710,41700,1.0
41720,1180,1.0
41720,41700,1.0
41730,1180,1.0
41730,41700,1.0
41740,1180,1.0
41740,41700,1.0
41750,1180,1.0
41750,41700,1.0
41760,1180,1.0
41760,41700,1.0
41770,1180,1.0
41770,90,1.0
41780,1180,1.0
41780,41770,1.0
41790,1180,1.0
41790,41770,1.0
41800,1180,1.0
41800,41770,1.0
41810,1180,1.0
41810,41770,1.0
41820,1180,1.0
41820,90,1.0
41830,1180,1.0
41830,41820,1.0
41840,1180,1.0
41840,41820,1.0
41850,1180,1.0
41850,41820,1.0
41860,1180,1.0
41860,41820,1.0
41870,1180,1.0
41870,90,1.0
41880,1180,1.0
41880,41870,1.0
41890,1180,1.0
41890,41870,1.0
41900,1180,1.0
41900,41870,1.0
41910,1180,1.0
41910,41870,1.0
41920,1180,1.0
41920,41870,1.0
41930,1180,1.0
41930,41870,1.0
41940,1180,1.0
41940,41870,1.0
41950,1180,1.0
41950,41870,1.0
41960,1180,1.0
41960,41870,1.0
41970,1180,1.0
41970,41870,1.0
41980,1180,1.0
41980,90,1.0
41990,1180,1.0
41990,41980,1.0
42000,1180,1.0
42000,41980,1.0
42010,1180,1.0
42010,41980,1.0
42020,1180,1.0
42020,41980,1.0
42030,1180,1.0
42030,90,1.0
42040,1180,1.0
42040,42030,1.0
42050,1180,1.0
42050,42030,1.0
42060,1180,1.0
42060,42030,1.0
42070,1180,1.0
42070,42030,1.0
42080,1180,1.0
42080,42030,1.0
42090,1180,1.0
42090,42030,1.0
42100,1180,1.0
42100,42030,1.0
42110,1180,1.0
42110,42030,1.0
42120,1180,1.0
42120,90,1.0
42130,1180,1.0
42130,42120,1.0
42140,1180,1.0
42140,42120,1.0
42150,1180,1.0
42150,42120,1.0
42160,1180,1.0
42160,42120,1.0
42170,1180,1.0
42170,42120,1.0
42180,1180,1.0
42180,42120,1.0
42190,1180,1.0
42190,42120,1.0
42200,1180,1.0
42200,42120,1.0
42210,1180,1.0
42210,42120,1.0
42220,1180,1.0
42220,90,1.0
42230,1180,1.0
42230,42220,1.0
42240,1180,1.0
42240,42220,1.0
42250,1180,1.0
42250,42220,1.0
42260,1180,1.0
42260,90,1.0
42270,1180,1.0
42270,42260,1.0
42280,1180,1.0
42280,42260,1.0
42290,1180,1.0
42290,42260,1.0
42300,1180,1.0
42300,42260,1.0
42310,1180,1.0
42310,90,1.0
42320,1180,1.0
42320,42310,1.0
42330,1180,1.0
42330,42310,1.0
42340,1180,1.0
42340,42310,1.0
42350,1180,1.0
42350,42310,1.0
42360,1180,1.0
42360,42310,1.0
42370,1180,1.0
42370,42310,1.0
42380,1180,1.0
42380,90,1.0
42390,1180,1.0
42390,42380,1.0
42400,1180,1.0
42400,42380,1.0
42410,1180,1.0
42410,42380,1.0
42420,1180,1.0
42420,42380,1.0
42430,1180,1.0
42430,42380,1.0
42440,1180,1.0
42440,42380,1.0
42450,1180,1.0
42450,42380,1.0
42460,1180,1.0
42460,42380,1.0
42470,1180,1.0
42470,90,1.0
42480,1180,1.0
42480,42470,1.0
42490,1180,1.0
42490,42470,1.0
42500,1180,1.0
42500,42470,1.0
42510,1180,1.0
42510,90,1.0
42520,1180,1.0
42520,42510,1.0
42530,1180,1.0
42530,42510,1.0
42540,1180,1.0
42540,42510,1.0
42550,1180,1.0
42550,42510,1.0
42560,1180,1.0
42560,42510,1.0
42570,1180,1.0
42570,42510,1.0
42580,1180,1.0
42580,42510,1.0
42590,1180,1.0
42590,42510,1.0
42600,1180,1.0
42600,42510,1.0
42610,1180,1.0
42610,42510,1.0
42620,1180,1.0
42620,90,1.0
42630,1180,1.0
42630,42620,1.0
42640,1180,1.0
42640,42620,1.0
42650,1180,1.0
42650,42620,1.0
42660,1190,1.0
42660,90,1.0
42670,1190,1.0
42670,42660,1.0
